CTYNAME,MEDIANHH,MEANHH
Michigan," 57,144 "," 78,400 "
Antrim," 56,165 "," 75,224 "
Benzie," 57,974 "," 70,067 "
Charlevoix," 55,760 "," 75,996 "
Crawford," 47,977 "," 58,926 "
Emmet," 55,829 "," 76,988 "
Grand Traverse," 63,575 "," 85,405 "
Kalkaska," 46,898 "," 58,863 "
Leelanau," 65,249 "," 90,159 "
Manistee," 50,055 "," 64,676 "
Missaukee," 47,194 "," 58,955 "
Wexford," 47,193 "," 62,864 "
